entity_id,interval_dt_tm,dev_username,app_id,api_name,resource_name,response_status_code
bbva,"2016-03-02 11:24:03",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/consumption_pattern,200
bbva,"2016-03-02 11:24:02",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/cards_cube,200
bbva,"2016-03-02 11:24:02",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/payment_distribution,200
bbva,"2016-03-02 11:24:01",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/basic_stats,200
default_entity,"2016-03-02 10:38:47",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/developer,201
bbva,"2016-03-02 09:53:10",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/consumption_pattern,200
bbva,"2016-03-02 09:53:09",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/cards_cube,200
bbva,"2016-03-02 09:53:09",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/payment_distribution,200
bbva,"2016-03-02 09:53:08",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/basic_stats,200
bbva,"2016-03-02 09:52:59",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/cards_cube,200
bbva,"2016-03-02 09:52:59",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/payment_distribution,200
bbva,"2016-03-02 09:52:58",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/basic_stats,200
bbva,"2016-03-02 09:52:47",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/cards_cube,404
bbva,"2016-03-02 09:52:47",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/payment_distribution,404
bbva,"2016-03-02 09:52:46",Alfonso,app.bbva.M77CDz4g2eVR,paystats_sbx,GET#paystats_sbx#2#/tiles/{latitude}/{longitude}/basic_stats,404
default_entity,"2016-03-02 09:18:11",Developer,app.default.GenoaApiExecutor,GenoaAPI,POST#GenoaAPI#1#/developer,201
bbva,"2016-03-02 09:03:10",raul_demoday,app.bbva.live.all.apis.rauldemoday,accounts,GET#accounts#v1#/me/accounts,200
bbva,"2016-03-02 09:02:18",raul_demoday,app.bbva.live.all.apis.rauldemoday,paystats,GET#paystats#2#/tiles/{latitude}/{longitude}/basic_stats,200
bbva,"2016-03-01 18:09:46",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 18:06:48",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts/{accountId}/transactions,200
bbva,"2016-03-01 18:06:44",everest,app.bbva.dev.clientapi,accounts-sbx,GET#accounts-sbx#v1#/me/accounts,200
bbva,"2016-03-01 18:06:15",everest,app.bbva.dev.clientapi,identity-sbx,GET#identity-sbx#v1#/me,200
bbva,"2016-03-01 15:07:58",everest,app.bbva.dev.clientapi,cards-sbx,GET#cards-sbx#v1#/me/cards/{cardId},200
